Activity,Cluster_Region,Source_Year,n,estimate,cv_approx,annual_pass
Gymnastics/cheerleading,Trunk/spine,2019,193,5700.0,0.19775236560816453,True
Gymnastics/cheerleading,Lower limb,2019,680,19300.0,0.16155755720237694,True
Gymnastics/cheerleading,Other/systemic,2019,19,,0.31916639526685603,False
Volleyball,Head/neck,2019,275,8500.0,0.14870890081806737,True
Volleyball,Upper limb,2019,470,16500.0,0.15292352172085802,True
Volleyball,Trunk/spine,2019,121,4100.0,0.14463172573274902,True
Volleyball,Lower limb,2019,574,21100.0,0.12045036509601847,True
Volleyball,Other/systemic,2019,16,,0.44034283307947786,False
Snow sports,Head/neck,2019,243,,0.3473665413200936,False
Snow sports,Upper limb,2019,422,,0.3855883063294321,False
Snow sports,Trunk/spine,2019,151,,0.35854335664146236,False
Snow sports,Lower limb,2019,273,12100.0,0.3150421786878384,True
Snow sports,Other/systemic,2019,6,,0.4808128185361039,False
Hockey,Head/neck,2019,513,15200.0,0.20667192879008103,True
Hockey,Upper limb,2019,371,10600.0,0.24240939861688096,True
Hockey,Trunk/spine,2019,112,3300.0,0.25591613444592787,True
Hockey,Lower limb,2019,225,7200.0,0.24041445036469358,True
Hockey,Other/systemic,2019,5,,0.9347840807383822,False
Fishing,Head/neck,2019,172,10000.0,0.14650904736324677,True
Fishing,Upper limb,2019,573,33200.0,0.15352066457607275,True
Fishing,Trunk/spine,2019,78,4500.0,0.19781507290163008,True
Fishing,Lower limb,2019,212,12400.0,0.2665567802369795,True
Fishing,Other/systemic,2019,32,1600.0,0.30230502269325055,True
Basketball,Head/neck,2020,1473,43300.0,0.09054188028946834,True
Basketball,Upper limb,2020,2073,58500.0,0.10618137539814783,True
Basketball,Trunk/spine,2020,529,16500.0,0.09726882769267493,True
Basketball,Lower limb,2020,2964,93100.0,0.10104221458864959,True
Basketball,Other/systemic,2020,67,2200.0,0.2103094995652396,True
Exercise/fitness,Head/neck,2020,1116,43000.0,0.1339365367912724,True
