Age_Display,Source_Year,n,estimate,cv_approx,annual_pass
60,2020,127,5500.0,0.16109884387407344,True
61,2020,100,4300.0,0.26013489150169433,True
62,2020,82,3900.0,0.21579155161140018,True
63,2020,88,4300.0,0.22192604532786683,True
64,2020,109,5200.0,0.22833426218280548,True
65,2020,99,4900.0,0.19818480447479536,True
66,2020,92,4300.0,0.2888775008715171,True
67,2020,71,,0.33722356681315196,False
68,2020,102,5000.0,0.23091482141022673,True
69,2020,85,4600.0,0.26814330584519613,True
70,2020,82,,0.359418176036506,False
71,2020,81,4000.0,0.32839782499397974,True
72,2020,80,3900.0,0.2894482308644744,True
73,2020,86,,0.35512331432124605,False
74,2020,71,,0.3421358520015795,False
75,2020,58,,0.39027076392377696,False
76,2020,53,2900.0,0.32282118535745896,True
77,2020,71,,0.34800279977555065,False
78,2020,68,,0.3792302469399651,False
79,2020,48,,0.4842083821598013,False
80,2020,43,,0.42535677674912975,False
81,2020,34,,0.46374111716212746,False
82,2020,42,2200.0,0.3147284764951264,True
83,2020,34,,0.4042933517729116,False
84,2020,36,,0.42626319347609176,False
85,2020,30,1600.0,0.29603284133203867,True
86,2020,27,,0.3833317163412746,False
87,2020,21,,0.3050356684072593,False
88,2020,16,,0.5252001154170506,False
89,2020,23,,0.25402701323130134,False
90,2020,40,1600.0,0.2766881937312724,True
0,2021,23,,0.3912184146947625,False
1,2021,141,3300.0,0.3236660237669315,True
2,2021,240,7000.0,0.2383246736109376,True
3,2021,284,7500.0,0.30554129093680055,True
4,2021,295,7400.0,0.24923865818622726,True
5,2021,395,9400.0,0.25563385445676073,True
6,2021,530,12900.0,0.26281492704442305,True
7,2021,704,16200.0,0.2453012018255906,True
8,2021,936,24100.0,0.23702951482480492,True
9,2021,1140,27600.0,0.21880542127965594,True
10,2021,1341,31100.0,0.17924259852261565,True
11,2021,1758,42700.0,0.16093116179698064,True
12,2021,2204,54500.0,0.148442645111044,True
13,2021,2631,69100.0,0.1505214093734252,True
14,2021,2873,74400.0,0.1474414572854635,True
15,2021,2733,76900.0,0.1480981039933063,True
16,2021,2477,71600.0,0.11975365691556475,True
17,2021,2288,71400.0,0.11862689056780758,True
18,2021,1263,42600.0,0.09776130003947793,True
19,2021,852,31200.0,0.11077767957462929,True
20,2021,821,33100.0,0.1179049272518154,True
21,2021,698,28000.0,0.13897995519713213,True
22,2021,575,22800.0,0.10721737942821508,True
23,2021,534,21000.0,0.08425269794150042,True
24,2021,493,17800.0,0.08503946242156038,True
25,2021,474,18000.0,0.08617772019086188,True
26,2021,415,16000.0,0.1093305733510722,True
27,2021,417,15300.0,0.1064135927214108,True
28,2021,408,15400.0,0.101648489449455,True
29,2021,395,15100.0,0.09306831757740175,True
30,2021,396,14700.0,0.12585599013784238,True
31,2021,360,14100.0,0.09400026901892908,True
32,2021,385,15200.0,0.09476740125375198,True
33,2021,316,12200.0,0.11752111917652044,True
34,2021,317,12500.0,0.10250840883129131,True
35,2021,276,10500.0,0.10974780486884614,True
36,2021,291,11900.0,0.090579266313007,True
37,2021,249,9900.0,0.11799372349220157,True
38,2021,260,9900.0,0.10325432588406973,True
39,2021,230,9300.0,0.1081938013952435,True
40,2021,237,10300.0,0.1108228050612509,True
41,2021,234,8900.0,0.10712257085124093,True
42,2021,207,8200.0,0.11219795608800891,True
43,2021,187,7900.0,0.11801643238413584,True
44,2021,186,7400.0,0.10870315381692712,True
45,2021,158,6400.0,0.12543167289443724,True
46,2021,151,6500.0,0.11768990459320726,True
47,2021,137,5700.0,0.14883855365423496,True
48,2021,150,5900.0,0.12183499790461741,True
49,2021,137,5600.0,0.14842371746022842,True
50,2021,149,6300.0,0.13631365857701447,True
51,2021,121,4700.0,0.1343813892142463,True
52,2021,154,6200.0,0.14087734943630134,True
53,2021,130,5200.0,0.14381888775789964,True
54,2021,116,5300.0,0.16647982603399583,True
55,2021,135,6000.0,0.14944440957668093,True
56,2021,130,5700.0,0.1260949218240925,True
57,2021,118,5200.0,0.1472733717345697,True
58,2021,117,4700.0,0.13977142835766668,True
59,2021,120,4900.0,0.1728401729947728,True
60,2021,123,5100.0,0.17116331473432483,True
61,2021,124,5900.0,0.18796579746669972,True
62,2021,105,4400.0,0.1950058738634235,True
63,2021,122,5100.0,0.24444330750218676,True
64,2021,109,4500.0,0.17921459370923126,True
65,2021,109,5000.0,0.19483099672552603,True
66,2021,121,5500.0,0.2437522159849627,True
67,2021,92,4500.0,0.24996683515338558,True
68,2021,113,5400.0,0.235470317795656,True
69,2021,101,4800.0,0.22074127980107094,True
70,2021,94,4300.0,0.2341924086488201,True
71,2021,88,4200.0,0.23959303258212292,True
72,2021,76,,0.336816984549818,False
73,2021,94,,0.36848972028859583,False
74,2021,97,4800.0,0.2554996808276146,True
75,2021,60,3000.0,0.3138416348341389,True
76,2021,68,3300.0,0.32348719310036855,True
77,2021,65,3800.0,0.302935755968878,True
78,2021,62,2900.0,0.2585365525220938,True
79,2021,57,2500.0,0.24012717054562857,True
80,2021,48,2200.0,0.27001737117107727,True
81,2021,48,,0.3441761734424272,False
82,2021,36,,0.35459643373902416,False
83,2021,37,1900.0,0.27372779023464805,True
84,2021,36,1500.0,0.2542301472105945,True
85,2021,40,,0.3845661882634432,False
86,2021,21,,0.27815433924356103,False
87,2021,17,,0.3109635037464641,False
88,2021,18,,0.3249940235315165,False
89,2021,18,,0.42988133940615486,False
90,2021,46,2100.0,0.30526639648294374,True
0,2022,31,,0.28813766538737673,False
